"filename", "language", "JSON with Comments", "SCSS", "JSON", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\.eslintrc.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\README.md", "Markdown", 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\angular.json", "JSON", 0, 0, 127, 0, 0, 0, 0, 0, 127
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\package-lock.json", "JSON", 0, 0, 24204, 0, 0, 0, 0, 1, 24205
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\app.component.html", "HTML", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\app.component.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\app.component.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\app.module.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 3, 7, 80
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-details-user-item\event-details-user-item.component.html", "HTML", 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-details-user-item\event-details-user-item.component.scss", "SCSS", 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-details-user-item\event-details-user-item.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-item\event-item.component.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 34
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-item\event-item.component.scss", "SCSS", 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\event-item\event-item.component.ts", "TypeScript", 0, 0, 0, 153, 0, 0, 0, 14, 167
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\main-nav\main-nav.component.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\main-nav\main-nav.component.scss", "SCSS", 0, 26, 0, 0, 0, 0, 0, 8, 34
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\main-nav\main-nav.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 8, 29
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\voting-item\voting-item.component.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\voting-item\voting-item.component.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\components\voting-item\voting-item.component.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 12, 95
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\create-event-page\create-event-page.component.html", "HTML", 0, 0, 0, 0, 25, 0, 1, 2, 28
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\create-event-page\create-event-page.component.scss", "SCSS", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\create-event-page\create-event-page.component.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\event-detail-page\event-detail-page.component.html", "HTML", 0, 0, 0, 0, 63, 0, 0, 10, 73
